2lr,3colsample,4max_depth,5gamma,6reg_l2,7reg_l1,8AUC
0.1,0.8,8,0,0.5,0.0,0.8312461240310078
0.1,0.8,8,0,0.0,1.0,0.8312461240310078
0.1,0.8,8,0,0.0,0.5,0.8312461240310078
0.1,0.8,8,0,0.0,0.0,0.8312461240310078
0.1,0.8,4,2,1.0,1.0,0.8408905784138343
0.1,0.8,4,2,1.0,0.5,0.8408905784138343
0.1,0.8,4,2,1.0,0.0,0.8408905784138343
0.1,0.8,4,2,0.5,1.0,0.8408905784138343
0.1,0.8,4,2,0.5,0.5,0.8408905784138343
0.1,0.8,4,2,0.5,0.0,0.8408905784138343
0.1,0.8,4,2,0.0,1.0,0.8408905784138343
0.1,0.8,4,2,0.0,0.5,0.8408905784138343
0.1,0.8,4,2,0.0,0.0,0.8408905784138343
0.1,0.8,4,1,1.0,1.0,0.8408905784138343
0.1,0.8,4,1,1.0,0.5,0.8408905784138343
0.1,0.8,4,1,1.0,0.0,0.8408905784138343
0.1,0.8,4,1,0.5,1.0,0.8408905784138343
0.1,0.8,4,1,0.5,0.5,0.8408905784138343
0.1,0.8,4,1,0.5,0.0,0.8408905784138343
0.1,0.8,4,1,0.0,1.0,0.8408905784138343
0.1,0.8,4,1,0.0,0.5,0.8408905784138343
0.1,0.8,4,1,0.0,0.0,0.8408905784138343
0.1,0.8,4,0,1.0,1.0,0.8408905784138343
0.1,0.8,4,0,1.0,0.5,0.8408905784138343
0.1,0.8,4,0,1.0,0.0,0.8408905784138343
0.1,0.8,4,0,0.5,1.0,0.8408905784138343
0.1,0.8,4,0,0.5,0.5,0.8408905784138343
0.1,0.8,4,0,0.5,0.0,0.8408905784138343
0.1,0.8,4,0,0.0,1.0,0.8408905784138343
0.1,0.8,4,0,0.0,0.5,0.8408905784138343
0.1,0.8,4,0,0.0,0.0,0.8408905784138343
0.1,0.5,16,2,1.0,1.0,0.831554412641622
0.1,0.5,16,2,1.0,0.5,0.831554412641622
0.1,0.5,16,2,1.0,0.0,0.831554412641622
0.1,0.5,16,2,0.5,1.0,0.831554412641622
0.1,0.5,16,2,0.5,0.5,0.831554412641622
0.1,0.5,16,2,0.5,0.0,0.831554412641622
0.1,0.5,16,2,0.0,1.0,0.831554412641622
0.1,0.5,16,2,0.0,0.5,0.831554412641622
0.1,0.5,16,2,0.0,0.0,0.831554412641622
0.1,0.5,16,1,1.0,1.0,0.831554412641622
0.1,0.5,16,1,1.0,0.5,0.831554412641622
0.1,0.5,16,1,1.0,0.0,0.831554412641622
0.1,0.5,16,1,0.5,1.0,0.831554412641622
0.1,0.5,16,1,0.5,0.5,0.831554412641622
0.1,0.5,16,1,0.5,0.0,0.831554412641622
0.1,0.5,16,1,0.0,1.0,0.831554412641622
0.1,0.5,16,1,0.0,0.5,0.831554412641622
0.1,0.5,16,1,0.0,0.0,0.831554412641622
0.1,0.5,16,0,1.0,1.0,0.831554412641622
0.1,0.5,16,0,1.0,0.5,0.831554412641622
0.1,0.5,16,0,1.0,0.0,0.831554412641622
0.1,0.5,16,0,0.5,1.0,0.831554412641622
0.1,0.5,16,0,0.5,0.5,0.831554412641622
0.1,0.5,16,0,0.5,0.0,0.831554412641622
0.1,0.5,16,0,0.0,1.0,0.831554412641622
0.1,0.5,16,0,0.0,0.5,0.831554412641622
0.1,0.5,16,0,0.0,0.0,0.831554412641622
0.1,0.5,12,2,1.0,1.0,0.8331118067978532
0.1,0.5,12,2,1.0,0.5,0.8331118067978532
0.1,0.5,12,2,1.0,0.0,0.8331118067978532
0.1,0.5,12,2,0.5,1.0,0.8331118067978532
0.1,0.5,12,2,0.5,0.5,0.8331118067978532
0.1,0.5,12,2,0.5,0.0,0.8331118067978532
0.1,0.5,12,2,0.0,1.0,0.8331118067978532
0.1,0.5,12,2,0.0,0.5,0.8331118067978532
0.1,0.5,12,2,0.0,0.0,0.8331118067978532
0.1,0.5,12,1,1.0,1.0,0.8331118067978532
0.1,0.5,12,1,1.0,0.5,0.8331118067978532
0.1,0.5,12,1,1.0,0.0,0.8331118067978532
0.1,0.5,12,1,0.5,1.0,0.8331118067978532
0.1,0.5,12,1,0.5,0.5,0.8331118067978532
0.1,0.5,12,1,0.5,0.0,0.8331118067978532
0.1,0.5,12,1,0.0,1.0,0.8331118067978532
0.1,0.5,12,1,0.0,0.5,0.8331118067978532
0.1,0.5,12,1,0.0,0.0,0.8331118067978532
0.1,0.5,12,0,1.0,1.0,0.8331118067978532
0.1,0.5,12,0,1.0,0.5,0.8331118067978532
0.1,0.5,12,0,1.0,0.0,0.8331118067978532
